[Barcelona,Champions League],
[Atlético Madrid,Champions League],
[Real Madrid,Champions League],
[Valencia,Champions League],
[Manchester City,Champions League],
[Liverpool,Champions League],
[Chelsea,Champions League],
[Tottenham Hotspur,Champions League],
[Juventus,Champions League],
[Napoli,Champions League],
[Atalanta,Champions League],
[Internazionale Milano,Champions League],
[Bayern München,Champions League],
[Borussia Dortmund,Champions League],
[RB Leipzig,Champions League],
[Bayer Leverkusen,Champions League],
[Paris Saint-Germain,Champions League],
[LOSC Lille,Champions League],
[Lyon,Champions League],
[Zenit,Champions League],
[Lokomotiv Moskva,Champions League],
[Benfica,Champions League],
[Shakhtar Donetsk,Champions League],
[Genk,Champions League],
[Club Brugge,Champions League],
[Galatasaray,Champions League],
[Salzburg,Champions League],
[Slavia Praha,Champions League],
[Ajax,Champions League],
[Olympiacos,Champions League],
[GNK Dinamo,Champions League],
[Crvena zvezda,Champions League]
